Local time,Open,High,Low,Close,Volume
10.04.2018 17:00:00.000 GMT+0800,106.982,107.035,106.973,107.013,5178.9102
10.04.2018 18:00:00.000 GMT+0800,107.013,107.091,106.976,107.047,4803.3198
10.04.2018 19:00:00.000 GMT+0800,107.047,107.070,106.932,107.057,8204.75
10.04.2018 20:00:00.000 GMT+0800,107.057,107.155,106.974,107.088,8403.8604
10.04.2018 21:00:00.000 GMT+0800,107.087,107.133,106.941,106.972,11133.2998
10.04.2018 22:00:00.000 GMT+0800,106.971,107.178,106.943,107.168,9690.6104
10.04.2018 23:00:00.000 GMT+0800,107.167,107.397,107.136,107.299,11288.96
11.04.2018 00:00:00.000 GMT+0800,107.298,107.303,107.126,107.224,11766.9902
11.04.2018 01:00:00.000 GMT+0800,107.223,107.331,107.123,107.323,8906.5996
11.04.2018 02:00:00.000 GMT+0800,107.324,107.374,107.145,107.169,10278.1699
11.04.2018 03:00:00.000 GMT+0800,107.170,107.212,107.126,107.157,9003.75
11.04.2018 04:00:00.000 GMT+0800,107.154,107.206,107.137,107.197,1884.42
11.04.2018 05:00:00.000 GMT+0800,107.192,107.250,107.190,107.193,6448.5098
11.04.2018 06:00:00.000 GMT+0800,107.193,107.226,107.171,107.207,1505.3199
11.04.2018 07:00:00.000 GMT+0800,107.209,107.225,107.095,107.131,3086.3799
11.04.2018 08:00:00.000 GMT+0800,107.130,107.135,106.970,107.099,8757.8701
11.04.2018 09:00:00.000 GMT+0800,107.098,107.151,107.080,107.090,7192.8101
11.04.2018 10:00:00.000 GMT+0800,107.092,107.131,107.056,107.120,4504.1299
11.04.2018 11:00:00.000 GMT+0800,107.120,107.142,107.022,107.061,4573.23
11.04.2018 12:00:00.000 GMT+0800,107.061,107.087,107.019,107.019,3401.1799
11.04.2018 13:00:00.000 GMT+0800,107.016,107.109,107.015,107.065,3193.1699
11.04.2018 14:00:00.000 GMT+0800,107.065,107.108,107.018,107.055,5203.77
11.04.2018 15:00:00.000 GMT+0800,107.056,107.085,106.982,107.008,5744.96
11.04.2018 16:00:00.000 GMT+0800,107.007,107.017,106.893,106.957,5309.52
11.04.2018 17:00:00.000 GMT+0800,106.956,107.027,106.933,106.951,3420.3799
11.04.2018 18:00:00.000 GMT+0800,106.951,106.983,106.865,106.895,5050.8701
11.04.2018 19:00:00.000 GMT+0800,106.897,106.904,106.748,106.850,8353.21
11.04.2018 20:00:00.000 GMT+0800,106.851,106.851,106.681,106.832,9000.0703
11.04.2018 21:00:00.000 GMT+0800,106.833,106.960,106.794,106.902,10079.9199
11.04.2018 22:00:00.000 GMT+0800,106.901,106.927,106.699,106.707,9909.5303
11.04.2018 23:00:00.000 GMT+0800,106.707,106.809,106.650,106.775,9992.4805
12.04.2018 00:00:00.000 GMT+0800,106.774,106.945,106.758,106.867,9269.9102
12.04.2018 01:00:00.000 GMT+0800,106.868,106.924,106.799,106.846,9837.4199
12.04.2018 02:00:00.000 GMT+0800,106.846,107.063,106.802,106.933,12084.25
12.04.2018 03:00:00.000 GMT+0800,106.933,106.942,106.780,106.854,8323.2402
12.04.2018 04:00:00.000 GMT+0800,106.855,106.873,106.782,106.786,2357.0601
12.04.2018 05:00:00.000 GMT+0800,106.785,106.844,106.776,106.798,5780.27
12.04.2018 06:00:00.000 GMT+0800,106.797,106.829,106.786,106.800,1029.46
12.04.2018 07:00:00.000 GMT+0800,106.801,106.865,106.791,106.825,2057.6101
12.04.2018 08:00:00.000 GMT+0800,106.826,106.872,106.700,106.852,7353.3198
12.04.2018 09:00:00.000 GMT+0800,106.852,106.926,106.832,106.857,6215.0601
12.04.2018 10:00:00.000 GMT+0800,106.855,106.934,106.855,106.879,5037.0098
12.04.2018 11:00:00.000 GMT+0800,106.880,106.903,106.815,106.864,3938.77
12.04.2018 12:00:00.000 GMT+0800,106.866,106.936,106.865,106.909,3958.49
12.04.2018 13:00:00.000 GMT+0800,106.909,106.972,106.893,106.933,4420.3999
12.04.2018 14:00:00.000 GMT+0800,106.935,106.940,106.835,106.876,5210.2598
12.04.2018 15:00:00.000 GMT+0800,106.876,106.926,106.848,106.899,6354.3999
12.04.2018 16:00:00.000 GMT+0800,106.899,106.926,106.820,106.824,5534.5298
12.04.2018 17:00:00.000 GMT+0800,106.823,106.960,106.823,106.917,5953.0298
12.04.2018 18:00:00.000 GMT+0800,106.917,107.180,106.917,107.155,7585.0698
12.04.2018 19:00:00.000 GMT+0800,107.155,107.203,107.096,107.178,6701.2002
12.04.2018 20:00:00.000 GMT+0800,107.178,107.241,107.110,107.235,8479.1797
12.04.2018 21:00:00.000 GMT+0800,107.236,107.429,107.179,107.375,11249.79
12.04.2018 22:00:00.000 GMT+0800,107.374,107.402,107.263,107.265,8131.8301
12.04.2018 23:00:00.000 GMT+0800,107.263,107.409,107.261,107.315,7705.7202
13.04.2018 00:00:00.000 GMT+0800,107.315,107.345,107.209,107.219,6214.5801
13.04.2018 01:00:00.000 GMT+0800,107.218,107.285,107.080,107.176,8573.7998
13.04.2018 02:00:00.000 GMT+0800,107.176,107.265,107.165,107.210,6384.8501
13.04.2018 03:00:00.000 GMT+0800,107.213,107.246,107.166,107.226,5973.8198
13.04.2018 04:00:00.000 GMT+0800,107.227,107.367,107.226,107.317,3351.8899
